model_type,accuracy,precision_rate_cut,recall_rate_cut,f1_rate_cut,precision_hold,recall_hold,f1_hold,precision_rate_hike,recall_rate_hike,f1_rate_hike
Standard,0.6904761904761905,0.25,0.4,0.3076923076923077,0.8620689655172413,0.7575757575757576,0.8064516129032258,0.4,0.5,0.4444444444444444
Crisis-Aware,0.7857142857142857,0.3333333333333333,0.4,0.36363636363636365,0.875,0.8484848484848485,0.8615384615384616,0.75,0.75,0.75
Weighted,0.8095238095238095,0.0,0.0,0.0,0.8205128205128205,0.9696969696969697,0.8888888888888888,0.6666666666666666,0.5,0.5714285714285714
SMOTE,0.7619047619047619,0.3333333333333333,0.4,0.36363636363636365,0.8484848484848485,0.8484848484848485,0.8484848484848485,0.6666666666666666,0.5,0.5714285714285714
SMOTE_Custom_Threshold,0.7857142857142857,0.3333333333333333,0.4,0.36363636363636365,0.875,0.8484848484848485,0.8615384615384616,0.75,0.75,0.75
Two_Stage,0.8333333333333334,0.5,0.4,0.4444444444444444,0.8823529411764706,0.9090909090909091,0.8955223880597015,0.75,0.75,0.75
