model_type,accuracy,f1_rate_cut,f1_hold,f1_rate_hike
Two_Stage,0.8333333333333334,0.4444444444444444,0.8955223880597015,0.75
Weighted,0.8095238095238095,0.0,0.8888888888888888,0.5714285714285714
Crisis-Aware,0.7857142857142857,0.36363636363636365,0.8615384615384616,0.75
SMOTE_Custom_Threshold,0.7857142857142857,0.36363636363636365,0.8615384615384616,0.75
SMOTE,0.7619047619047619,0.36363636363636365,0.8484848484848485,0.5714285714285714
Standard,0.6904761904761905,0.3076923076923077,0.8064516129032258,0.4444444444444444
