Feature,Importance
slope_5y_1y_std,0.0003390174583840845
EuroStoxx_volatility_std,0.0003390174583840845
slope_10y_2y_mean,0.0003390174583840845
Eurozone GDP Growth_max,0.0003390174583840845
5Y_std,0.0003390174583840845
CPI_Inflation_YoY_mean,0.0
ECB_rate_actual_std,0.0
Eurozone GDP Growth_6m_change_max,0.0
Core_CPI_YoY_std,0.0
ECBRateFutures_max,0.0
CPI_Inflation_YoY_YoY_max,0.0
GPRHC_USA_min,0.0
Eurozone GDP Growth_6m_change_mean,0.0
Eurozone GDP Growth_3m_change_std,0.0
ECB_rate_actual_mean,0.0
ECB_rate_actual_min,0.0
Eurozone GDP Growth_3m_change_min,0.0
ECB_rate_actual_end,0.0
CPI_Inflation_YoY_3m_change_mean,0.0
slope_5y_1y_min,0.0
rate_change_min,0.0
rate_change_max,0.0
rate_change_std,0.0
rate_change_end,0.0
Interval_Length,0.0
Market_Volatility_Avg,0.0
1Y_std,0.0
Yield_Curve_Status,0.0
M3_Money_Supply_YoY_max,0.0
Core_CPI_YoY_max,0.0
Eurozone GDP Growth_6m_change_end,0.0
CPI_Inflation_YoY_3m_change_min,0.0
5Y_volatility_min,0.0
curvature_min,0.0
Eurozone GDP Growth_end,0.0
Eurozone GDP Growth_std,0.0
1Y_max,0.0
2Y_volatility_min,0.0
Eurozone_Unemployment_std,0.0
Industrial_Production_min,0.0
Eurozone GDP Growth_min,0.0
Retail_Sales_mean,0.0
Retail_Sales_min,0.0
EuroStoxx_returns_mean,0.0
Retail_Sales_max,0.0
CPI_Inflation_YoY_3m_change_std,0.0
CPI_Inflation_YoY_6m_change_end,0.0
Oil_volatility_mean,0.0
Oil_volatility_min,0.0
EURUSD_volatility_std,0.0
Fed_Fund_Rate_mean,0.0
Fed_Fund_Rate_min,0.0
EURUSD_volatility_max,0.0
CPI_Inflation_YoY_YoY_mean,0.0
Fed_Fund_Rate_end,0.0
EuroStoxx 50 (Equity Markets)_max,0.0
1Y_mean,0.0
