Dates,EURUSD Exchange rate,ECBRateFutures,EuroStoxx 50 (Equity Markets)
05-06-2000,0.9479,4.16,5379.6
06-06-2000,0.9548,4.13,5325.87
07-06-2000,0.9622,4.06,5272.37
08-06-2000,0.956,4.15,5286.74
09-06-2000,0.9536,4.33,5292.97
12-06-2000,0.9538,4.36,5294.65
13-06-2000,0.9596,4.35,5305.34
14-06-2000,0.9579,4.31,5379.57
15-06-2000,0.9547,4.26,5338.49
16-06-2000,0.965,4.24,5281.57
19-06-2000,0.9567,4.21,5271.82
20-06-2000,0.9548,4.22,5312.13
21-06-2000,0.9442,4.38,5253.3
22-06-2000,0.9355,4.16,5231.93
23-06-2000,0.9359,4.51,5240.58
26-06-2000,0.9369,4.44,5235.39
27-06-2000,0.9459,4.43,5209.53
28-06-2000,0.9401,4.38,5229.17
29-06-2000,0.952,4.33,5061.63
30-06-2000,0.9525,4.75,5145.35
03-07-2000,0.9502,4.33,5187.01
04-07-2000,0.9513,4.32,5185.87
05-07-2000,0.9525,4.32,5166.25
06-07-2000,0.9507,4.32,5152.38
07-07-2000,0.9484,4.31,5251.65
10-07-2000,0.9553,4.31,5263.97
11-07-2000,0.9527,4.31,5231.33
12-07-2000,0.9424,4.31,5249.15
13-07-2000,0.9372,4.3,5299.54
14-07-2000,0.9385,4.31,5320.06
17-07-2000,0.9366,4.31,5357.19
18-07-2000,0.9248,4.32,5314.95
19-07-2000,0.9246,4.34,5294.76
20-07-2000,0.9331,4.22,5316.51
21-07-2000,0.9369,3.98,5238.02
24-07-2000,0.9337,4.36,5237.95
25-07-2000,0.9385,4.35,5212.83
26-07-2000,0.9428,4.33,5222.83
27-07-2000,0.9317,4.33,5097.41
28-07-2000,0.923,4.35,5061.83
31-07-2000,0.9266,4.45,5122.8
01-08-2000,0.9147,4.33,5104.23
02-08-2000,0.9136,4.33,5091.86
03-08-2000,0.9061,4.33,4995.82
04-08-2000,0.9083,4.33,5049.45
07-08-2000,0.9071,4.33,5088.41
08-08-2000,0.9022,4.33,5105.52
09-08-2000,0.9006,4.33,5158.12
10-08-2000,0.9083,4.33,5182.06
11-08-2000,0.9026,4.35,5179.68
14-08-2000,0.9056,4.39,5218.59
15-08-2000,0.9135,4.39,5203.14
16-08-2000,0.9161,4.38,5223.7
17-08-2000,0.9162,4.35,5192.06
18-08-2000,0.9064,4.27,5180.7
21-08-2000,0.9017,4.26,5165.44
22-08-2000,0.8964,4.35,5161.42
23-08-2000,0.9017,4.08,5160.14
24-08-2000,0.9021,4.55,5123.99
25-08-2000,0.9021,4.73,5175.65
28-08-2000,0.9002,4.76,5204.18
29-08-2000,0.8921,4.74,5188.93
30-08-2000,0.894,4.7,5166.91
31-08-2000,0.8878,4.7,5175.12
01-09-2000,0.8997,4.6,5298.64
04-09-2000,0.8978,4.59,5392.63
05-09-2000,0.8903,4.6,5326.69
06-09-2000,0.8702,4.61,5299.24
07-09-2000,0.8713,4.64,5329.06
08-09-2000,0.8672,4.64,5229.04
11-09-2000,0.8577,4.63,5233.87
12-09-2000,0.864,4.61,5222.37
13-09-2000,0.8594,4.58,5153.2
14-09-2000,0.8644,4.54,5204.62
15-09-2000,0.8543,4.53,5199.14
18-09-2000,0.8537,4.54,5129.43
19-09-2000,0.8509,4.54,5117.15
20-09-2000,0.8493,4.54,5051.4
21-09-2000,0.8599,4.4,4941.06
22-09-2000,0.8766,4.12,4945.37
25-09-2000,0.8745,4.66,4984.29
26-09-2000,0.8828,4.72,4934.89
27-09-2000,0.8834,4.7,4949.87
28-09-2000,0.8791,4.7,4934.08
29-09-2000,0.8828,4.91,4915.18
02-10-2000,0.8773,4.69,4961.88
03-10-2000,0.8757,4.69,5003.46
04-10-2000,0.8746,4.68,4959.41
05-10-2000,0.8691,4.71,4997.25
06-10-2000,0.8684,4.8,4958.37
09-10-2000,0.8687,4.79,4844.44
10-10-2000,0.8716,4.78,4867.33
11-10-2000,0.8683,4.78,4743.47
12-10-2000,0.863,4.77,4747.87
13-10-2000,0.856,4.73,4782.74
16-10-2000,0.8498,4.73,4793.14
17-10-2000,0.8543,4.73,4760.92
18-10-2000,0.8389,4.65,4658.85
19-10-2000,0.8436,4.64,4836.86
20-10-2000,0.8421,4.68,4889.51
23-10-2000,0.8354,4.72,4906.67
24-10-2000,0.8359,4.84,5031.03
25-10-2000,0.8272,4.85,4977.07
26-10-2000,0.8303,4.85,4926.36
27-10-2000,0.8393,4.85,4965.92
30-10-2000,0.8411,4.85,4981.38
31-10-2000,0.8489,4.97,5057.46
01-11-2000,0.8612,4.87,5085.47
02-11-2000,0.8584,4.86,5092.63
03-11-2000,0.8666,4.85,5101.4
06-11-2000,0.8625,4.85,5091.25
07-11-2000,0.86,4.84,5076.8
08-11-2000,0.8555,4.83,5055.05
09-11-2000,0.8666,4.82,5017.69
10-11-2000,0.8596,4.81,4934.47
13-11-2000,0.8571,4.81,4847.46
14-11-2000,0.8576,4.8,5011.12
15-11-2000,0.8575,4.79,5053.48
16-11-2000,0.8532,4.77,5010.65
17-11-2000,0.8478,4.76,4961.54
20-11-2000,0.8514,4.8,4849.33
21-11-2000,0.844,4.86,4893.95
22-11-2000,0.8457,4.79,4783.35
23-11-2000,0.8393,4.81,4837.48
24-11-2000,0.838,4.83,4940.22
27-11-2000,0.8529,4.84,4945.34
28-11-2000,0.8559,4.85,4893.46
29-11-2000,0.8578,4.86,4907.61
30-11-2000,0.8729,4.94,4790.08
01-12-2000,0.8799,4.84,4839.27
04-12-2000,0.8857,4.82,4734.72
05-12-2000,0.8799,4.8,4911.93
06-12-2000,0.892,4.78,4869.48
07-12-2000,0.8885,4.81,4900.6
08-12-2000,0.8888,4.83,4889.72
11-12-2000,0.8783,4.83,4970.66
12-12-2000,0.8794,4.83,4947.72
13-12-2000,0.877,4.81,4890.16
14-12-2000,0.8923,4.79,4810.94
15-12-2000,0.8966,4.78,4718
18-12-2000,0.896,4.79,4744.26
19-12-2000,0.8953,4.78,4814.64
20-12-2000,0.9093,4.74,4641.15
21-12-2000,0.9166,4.73,4614.24
22-12-2000,0.9232,4.85,4655.87
25-12-2000,0.9257,,
26-12-2000,0.9303,,
27-12-2000,0.9312,4.86,4721.49
28-12-2000,0.9296,4.88,4770.9
29-12-2000,0.9427,5.16,4772.39
01-01-2001,0.9423,,
02-01-2001,0.9517,4.83,4701.68
03-01-2001,0.928,4.82,4660.48
04-01-2001,0.9495,4.81,4752.71
05-01-2001,0.957,4.78,4734.48
08-01-2001,0.9467,4.77,4711.31
09-01-2001,0.9434,4.78,4641.79
10-01-2001,0.937,4.81,4598.82
11-01-2001,0.9519,4.82,4686.88
12-01-2001,0.9513,4.81,4737.95
15-01-2001,0.942,4.81,4763.53
16-01-2001,0.9427,4.8,4693.82
17-01-2001,0.9358,4.78,4787.45
18-01-2001,0.943,4.77,4754.97
19-01-2001,0.9342,4.72,4720.03
22-01-2001,0.9387,4.61,4743.39
23-01-2001,0.9358,4.19,4743.93
24-01-2001,0.9236,4.77,4773.26
25-01-2001,0.9244,4.78,4779.35
26-01-2001,0.9244,4.78,4760.2
29-01-2001,0.9172,4.79,4757.09
30-01-2001,0.9268,4.78,4726.65
31-01-2001,0.9366,4.82,4779.9
01-02-2001,0.9388,4.77,4709.19
02-02-2001,0.9364,4.77,4665.19
05-02-2001,0.9375,4.77,4668.57
06-02-2001,0.931,4.76,4706.83
07-02-2001,0.9285,4.76,4634.42
08-02-2001,0.9175,4.76,4653.17
09-02-2001,0.9242,4.76,4583.76
12-02-2001,0.9322,4.75,4628.17
13-02-2001,0.9208,4.77,4629.67
14-02-2001,0.918,4.87,4556.49
15-02-2001,0.9053,4.9,4607.64
16-02-2001,0.915,5.01,4519.95
19-02-2001,0.9214,5.45,4516.31
20-02-2001,0.9114,5.58,4481.04
21-02-2001,0.9101,5.72,4412.76
22-02-2001,0.9038,5.7,4345.1
23-02-2001,0.9176,5.08,4236.82
26-02-2001,0.911,4.83,4310.14
27-02-2001,0.9176,4.86,4333.32
28-02-2001,0.9236,4.99,4318.88
01-03-2001,0.9304,4.81,4282.9
02-03-2001,0.9358,4.81,4300.35
05-03-2001,0.9286,4.8,4347.4
06-03-2001,0.9337,4.81,4412.11
07-03-2001,0.9295,4.83,4413.62
08-03-2001,0.933,4.85,4370.56
09-03-2001,0.9328,4.85,4334.23
12-03-2001,0.9291,4.83,4218.14
13-03-2001,0.9152,4.81,4184.15
14-03-2001,0.9114,4.79,4123.97
15-03-2001,0.8974,4.78,4200.08
16-03-2001,0.8978,4.78,4106.79
19-03-2001,0.8999,4.79,4085.53
20-03-2001,0.9094,4.82,4158.42
21-03-2001,0.8965,4.83,4067.26
22-03-2001,0.8892,4.65,3891.49
23-03-2001,0.8899,4.44,4002.56
26-03-2001,0.8965,4.76,4143.85
27-03-2001,0.8938,4.76,4229.81
28-03-2001,0.8866,4.77,4157.55
29-03-2001,0.8821,4.77,4165.75
30-03-2001,0.8767,4.85,4185
02-04-2001,0.8792,4.78,4190.8
03-04-2001,0.8976,4.77,4039.16
04-04-2001,0.9011,4.77,4062.12
05-04-2001,0.8968,4.76,4158.19
06-04-2001,0.9042,4.75,4145.85
09-04-2001,0.8967,4.74,4204.13
10-04-2001,0.8888,4.84,4305.96
11-04-2001,0.8879,5.47,4329.23
12-04-2001,0.8926,5.73,4338.12
13-04-2001,0.8882,,
16-04-2001,0.8891,,
17-04-2001,0.8835,5.75,4293.51
18-04-2001,0.8835,5.56,4441.58
19-04-2001,0.8975,5.43,4420.55
20-04-2001,0.9022,5.5,4383.59
23-04-2001,0.8962,5.23,4331.54
24-04-2001,0.8942,4.79,4372.41
25-04-2001,0.8975,4.8,4363.11
26-04-2001,0.9034,4.81,4405.39
27-04-2001,0.8918,4.81,4473.95
30-04-2001,0.8891,4.93,4525.01
01-05-2001,0.8927,,4526.97
02-05-2001,0.8939,4.83,4494.71
03-05-2001,0.8899,4.82,4401.57
04-05-2001,0.8925,4.81,4416.79
07-05-2001,0.8903,4.81,4440.65
08-05-2001,0.885,4.81,4441.86
09-05-2001,0.8863,4.8,4415.99
10-05-2001,0.8814,4.75,4519.04
11-05-2001,0.8753,4.58,4479.9
14-05-2001,0.8741,4.57,4426.78
15-05-2001,0.8785,4.57,4453.95
16-05-2001,0.883,4.56,4449.61
17-05-2001,0.8828,4.56,4504.26
18-05-2001,0.8814,4.54,4546.41
21-05-2001,0.8768,4.53,4558.76
22-05-2001,0.8654,4.49,4582.07
23-05-2001,0.8568,4.86,4535.97
24-05-2001,0.8566,4.59,4561.38
25-05-2001,0.8611,4.59,4498.11
28-05-2001,0.8603,4.58,4512.6
29-05-2001,0.8555,4.57,4477.95
30-05-2001,0.8568,4.56,4413.37
31-05-2001,0.8453,4.6,4426.24
01-06-2001,0.8475,4.54,4414.95
04-06-2001,0.8457,4.53,4432.65
05-06-2001,0.854,4.53,4493.93
06-06-2001,0.8478,4.52,4468.95
07-06-2001,0.8509,4.52,4450.41
08-06-2001,0.8505,4.53,4450.97
11-06-2001,0.8424,4.53,4424.92
12-06-2001,0.8535,4.53,4289.07
13-06-2001,0.8553,4.53,4336
14-06-2001,0.8624,4.52,4282.1
15-06-2001,0.861,4.52,4236.9
18-06-2001,0.8608,4.53,4168.95
19-06-2001,0.854,4.52,4195.43
20-06-2001,0.8547,4.52,4175.88
21-06-2001,0.8546,4.42,4174.06
22-06-2001,0.8576,4.61,4194.96
25-06-2001,0.8591,4.55,4211.77
26-06-2001,0.8635,4.55,4143.75
27-06-2001,0.8597,4.56,4124.24
28-06-2001,0.8442,4.55,4169.49
29-06-2001,0.849,4.72,4243.91
02-07-2001,0.8478,4.54,4304.44
03-07-2001,0.8484,4.53,4243.8
04-07-2001,0.8463,4.53,4214.62
05-07-2001,0.8364,4.53,4185.47
06-07-2001,0.8476,4.53,4076.47
09-07-2001,0.85,4.52,4077.86
10-07-2001,0.855,4.52,4032.97
11-07-2001,0.8588,4.52,3974.64
12-07-2001,0.8536,4.52,4010.85
13-07-2001,0.8547,4.52,4044.42
16-07-2001,0.8522,4.52,4011.59
17-07-2001,0.8595,4.51,3996.05
18-07-2001,0.8735,4.51,3911.3
19-07-2001,0.8708,4.41,3991.08
20-07-2001,0.8711,4.33,3947.49
23-07-2001,0.869,4.4,3977.18
24-07-2001,0.8739,4.52,3930.11
25-07-2001,0.8813,4.52,3860.7
26-07-2001,0.8777,4.52,3915.62
27-07-2001,0.8774,4.52,3986.48
30-07-2001,0.8742,4.52,4047.66
31-07-2001,0.8764,4.58,4091.38
01-08-2001,0.881,4.51,4092.22
02-08-2001,0.8836,4.5,4066.43
03-08-2001,0.8844,4.52,4024.9
06-08-2001,0.8813,4.52,4044.29
07-08-2001,0.8777,4.52,4042.71
08-08-2001,0.8804,4.52,3972.98
09-08-2001,0.8923,4.52,3885.05
10-08-2001,0.8934,4.52,3828.68
13-08-2001,0.8965,4.51,3874.67
14-08-2001,0.9032,4.51,3924.67
15-08-2001,0.914,4.51,3894.77
16-08-2001,0.9115,4.51,3849.17
17-08-2001,0.9182,4.51,3759.69
20-08-2001,0.9144,4.51,3765.61
21-08-2001,0.9182,4.51,3790.34
22-08-2001,0.9144,4.44,3793.55
23-08-2001,0.9151,4.5,3816.99
24-08-2001,0.9142,4.51,3890.55
27-08-2001,0.9115,4.49,3892.15
28-08-2001,0.9129,4.49,3823.33
29-08-2001,0.9089,4.42,3832.6
30-08-2001,0.9161,4.37,3737.12
31-08-2001,0.9123,4.38,3743.97
03-09-2001,0.9075,4.3,3691.77
04-09-2001,0.8889,4.3,3736.82
05-09-2001,0.8865,4.29,3637.17
06-09-2001,0.8957,4.29,3550.26
07-09-2001,0.9075,4.28,3456.52
10-09-2001,0.898,4.28,3440.65
11-09-2001,0.9131,4.29,3220.27
12-09-2001,0.9066,4.42,3260.9
13-09-2001,0.911,4.28,3293.82
14-09-2001,0.9207,4.23,3091.21
17-09-2001,0.9247,4.23,3204.96
18-09-2001,0.9271,3.76,3189.94
19-09-2001,0.9267,3.56,3105.13
20-09-2001,0.9277,3.13,2967.94
21-09-2001,0.9149,3.12,2877.68
24-09-2001,0.9171,3.78,3068.05
25-09-2001,0.9228,3.79,3095.75
26-09-2001,0.9231,3.79,3155.68
27-09-2001,0.9183,3.78,3198.78
28-09-2001,0.9114,3.83,3296.66
01-10-2001,0.9175,3.77,3208.31
02-10-2001,0.9189,3.76,3265.24
03-10-2001,0.9145,3.75,3264.59
04-10-2001,0.9178,3.74,3394.69
05-10-2001,0.9183,3.72,3348.02
08-10-2001,0.9205,3.72,3353.41
09-10-2001,0.9132,3.83,3357.12
10-10-2001,0.911,3.94,3468.32
11-10-2001,0.9023,3.96,3510.55
12-10-2001,0.9115,3.98,3498.66
15-10-2001,0.9092,3.87,3393.62
16-10-2001,0.9084,3.91,3455.27
17-10-2001,0.9036,4.33,3531.76
18-10-2001,0.9031,4.4,3457.9
19-10-2001,0.8992,4.6,3406.94
22-10-2001,0.892,4.69,3480.27
23-10-2001,0.8905,4.74,3580.5
24-10-2001,0.8942,3.76,3609.65
25-10-2001,0.8925,3.74,3523.43
26-10-2001,0.893,3.77,3611.88
29-10-2001,0.9054,3.76,3527.55
30-10-2001,0.9046,3.76,3414.72
31-10-2001,0.9005,3.84,3478.63
01-11-2001,0.9025,3.77,3508.96
02-11-2001,0.9027,3.76,3503.26
05-11-2001,0.8977,3.76,3606.5
06-11-2001,0.8947,3.85,3589.69
07-11-2001,0.8976,3.88,3633.05
08-11-2001,0.8924,3.73,3723.93
09-11-2001,0.8939,3.86,3665.78
12-11-2001,0.8936,3.83,3567.55
13-11-2001,0.881,3.68,3717.98
14-11-2001,0.8823,3.37,3708.36
15-11-2001,0.8817,3.3,3703.85
16-11-2001,0.8843,3.29,3743.44
19-11-2001,0.8791,3.25,3795.72
20-11-2001,0.8833,3.25,3747.27
21-11-2001,0.8786,3.35,3730.04
22-11-2001,0.8779,3.4,3770.29
23-11-2001,0.878,3.28,3772.19
26-11-2001,0.8803,3.3,3753.54
27-11-2001,0.8834,3.3,3681.05
28-11-2001,0.8877,3.3,3631.76
29-11-2001,0.8875,3.3,3629.37
30-11-2001,0.8964,3.35,3658.27
03-12-2001,0.8911,3.29,3645.6
04-12-2001,0.8906,3.28,3690.25
05-12-2001,0.8883,3.26,3821.8
06-12-2001,0.8953,3.26,3828.76
07-12-2001,0.8902,3.27,3792.85
10-12-2001,0.8907,3.28,3720.2
11-12-2001,0.8925,3.29,3744.56
12-12-2001,0.8985,3.29,3692.39
13-12-2001,0.8936,3.3,3607.26
14-12-2001,0.9039,3.3,3568.73
17-12-2001,0.9021,3.3,3692.85
18-12-2001,0.9039,3.31,3680.55
19-12-2001,0.9003,3.32,3651.51
20-12-2001,0.9,3.27,3617.47
21-12-2001,0.8892,3.05,3696.44
24-12-2001,0.877,3.43,3696.98
25-12-2001,0.8787,,
26-12-2001,0.8807,,
27-12-2001,0.8829,3.69,3778.39
28-12-2001,0.8855,3.91,3806.13
31-12-2001,0.8895,,
01-01-2002,0.8895,,
02-01-2002,0.9033,3.35,3755.56
03-01-2002,0.8989,3.45,3833.09
04-01-2002,0.8949,3.45,3820.42
07-01-2002,0.8931,3.38,3754.42
08-01-2002,0.8932,3.35,3724.04
09-01-2002,0.8913,3.34,3722.98
10-01-2002,0.8916,3.34,3666.36
11-01-2002,0.8924,3.34,3696.66
14-01-2002,0.8942,3.33,3588.51
15-01-2002,0.8834,3.32,3637.2
16-01-2002,0.8831,3.33,3576.6
17-01-2002,0.8813,3.32,3649.43
18-01-2002,0.8848,3.31,3639.27
21-01-2002,0.8837,3.3,3601.97
22-01-2002,0.8871,3.03,3614.62
23-01-2002,0.8784,2.59,3648.81
24-01-2002,0.8782,3.31,3710.14
25-01-2002,0.865,3.31,3701.3
28-01-2002,0.8616,3.32,3739.85
29-01-2002,0.8657,3.32,3684.65
30-01-2002,0.8613,3.32,3630.73
31-01-2002,0.8594,3.35,3670.26
01-02-2002,0.8618,3.32,3682.69
04-02-2002,0.8698,3.31,3619.23
05-02-2002,0.8677,3.3,3535.7
06-02-2002,0.8674,3.3,3485.38
07-02-2002,0.8702,3.3,3519.93
08-02-2002,0.8722,3.3,3507.46
11-02-2002,0.8766,3.3,3556.09
12-02-2002,0.8768,3.3,3543.27
13-02-2002,0.8709,3.3,3571.56
14-02-2002,0.8737,3.29,3616.14
15-02-2002,0.8734,3.29,3555.15
18-02-2002,0.8705,3.28,3537.52
19-02-2002,0.8763,3.27,3448.98
20-02-2002,0.8698,3.21,3433.08
21-02-2002,0.8704,3.08,3480.58
22-02-2002,0.8755,3.22,3430.18
25-02-2002,0.8695,3.31,3493.32
26-02-2002,0.864,3.32,3519.8
27-02-2002,0.8655,3.32,3591.23
28-02-2002,0.8694,3.34,3624.74
01-03-2002,0.8655,3.31,3645.33
04-03-2002,0.8692,3.3,3748.55
05-03-2002,0.8717,3.29,3732.08
06-03-2002,0.8765,3.28,3748.67
07-03-2002,0.8816,3.28,3766.81
08-03-2002,0.8749,3.28,3789.88
11-03-2002,0.8752,3.28,3766.9
12-03-2002,0.8758,3.28,3723.95
13-03-2002,0.876,3.28,3702.89
14-03-2002,0.8825,3.27,3711.44
15-03-2002,0.8828,3.25,3755.75
18-03-2002,0.8828,3.23,3778.72
19-03-2002,0.8824,3.19,3796.26
20-03-2002,0.8855,3.12,3747.27
21-03-2002,0.8828,2.99,3722.68
22-03-2002,0.8779,3.26,3744.37
25-03-2002,0.877,3.33,3711.76
26-03-2002,0.8768,3.34,3732.75
27-03-2002,0.8725,3.33,3734.98
28-03-2002,0.8712,3.39,3784.05
29-03-2002,0.8717,,
01-04-2002,0.8806,,
02-04-2002,0.8794,3.31,3743.96
03-04-2002,0.881,3.3,3748.44
04-04-2002,0.8785,3.3,3691.1
05-04-2002,0.8783,3.3,3677.72
08-04-2002,0.875,3.29,3604.73
09-04-2002,0.8811,3.29,3623
10-04-2002,0.8802,3.29,3660.5
11-04-2002,0.8824,3.29,3593.43
12-04-2002,0.8794,3.28,3611.79
15-04-2002,0.8795,3.27,3650.23
16-04-2002,0.8827,3.26,3742.88
17-04-2002,0.8904,3.2,3746.69
18-04-2002,0.8911,3.19,3704.86
19-04-2002,0.8926,3.27,3709.01
22-04-2002,0.8894,3.33,3665.27
23-04-2002,0.8885,3.9,3657.8
24-04-2002,0.8927,3.31,3625.67
25-04-2002,0.898,3.3,3574.38
26-04-2002,0.9019,3.3,3561.08
29-04-2002,0.9033,3.3,3538.74
30-04-2002,0.9005,3.36,3574.23
01-05-2002,0.9064,,
02-05-2002,0.9032,3.31,3543.12
03-05-2002,0.9173,3.3,3496.44
06-05-2002,0.9183,3.3,3479.29
07-05-2002,0.9148,3.31,3453.29
08-05-2002,0.9046,3.3,3540.64
09-05-2002,0.9093,3.3,3525.59
10-05-2002,0.914,3.3,3465.12
13-05-2002,0.9121,3.3,3511.01
14-05-2002,0.9026,3.3,3575.62
15-05-2002,0.9119,3.3,3595.73
16-05-2002,0.9109,3.29,3579.03
17-05-2002,0.9203,3.27,3554.77
20-05-2002,0.9212,3.26,3518.98
21-05-2002,0.92,3.25,3512.88
22-05-2002,0.926,3.33,3459.02
23-05-2002,0.9211,3.32,3467.67
24-05-2002,0.9208,3.35,3477.06
27-05-2002,0.9206,3.35,3500.94
28-05-2002,0.9286,3.34,3472.4
29-05-2002,0.935,3.34,3462.38
30-05-2002,0.937,3.34,3388.44
31-05-2002,0.9342,3.36,3425.79
03-06-2002,0.9419,3.34,3382.54
04-06-2002,0.9394,3.33,3260.01
05-06-2002,0.939,3.33,3267.77
06-06-2002,0.9474,3.33,3277.53
07-06-2002,0.9435,3.33,3210.5
10-06-2002,0.9445,3.33,3205.36
11-06-2002,0.9481,3.32,3265.27
12-06-2002,0.9435,3.32,3176.95
13-06-2002,0.9434,3.31,3142.21
14-06-2002,0.9461,3.31,3054.5
17-06-2002,0.9448,3.31,3193
18-06-2002,0.9517,3.3,3188.26
19-06-2002,0.9578,3.3,3122.35
20-06-2002,0.9648,3.32,3057.43
21-06-2002,0.9709,3.58,3036.29
24-06-2002,0.9707,3.35,2928.72
25-06-2002,0.9796,3.36,3008.29
26-06-2002,0.9826,3.36,2949.07
27-06-2002,0.9883,3.35,3002.74
28-06-2002,0.9915,3.49,3133.39
01-07-2002,0.9918,3.34,3131.39
02-07-2002,0.9865,3.33,2999.17
03-07-2002,0.9805,3.32,2928.94
04-07-2002,0.9787,3.32,3013.8
05-07-2002,0.9727,3.32,3165.47
08-07-2002,0.9908,3.31,3155.88
09-07-2002,0.9931,3.3,3113.69
10-07-2002,0.9893,3.3,2983.47
11-07-2002,0.9878,3.3,2883.92
12-07-2002,0.9914,3.3,2886.3
15-07-2002,1.0027,3.3,2709.22
16-07-2002,1.0117,3.29,2713.73
17-07-2002,1.0074,3.28,2819.63
18-07-2002,1.0116,3.21,2850.14
19-07-2002,1.0116,3.23,2695.46
22-07-2002,1.0086,3.31,2544.95
23-07-2002,0.9888,3.31,2458.56
24-07-2002,0.9957,3.32,2438.31
25-07-2002,1.0048,3.31,2515.2
26-07-2002,0.9865,3.3,2536.93
29-07-2002,0.9814,3.3,2723.01
